Sample ID	Sample Name	Input Type	Files	Genus	Species	Strain	Gram	Metadata
1328432.3	Escherichia coli BWH 32	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328432.3.fna					;genome_taxa:1328432;isolation_site:;isolation_source:Urine;collection_date:9/1/12;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:Adult;host_health:;body_sample_site:;body_sample_subsite:;meropenem:S;gentamicin:S;ciprofloxacin:S;trimethoprim/sulfamethoxazole:;cefazolin:S;ampicillin:S;ampicillin/sulbactam:S;ceftazidime:S;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:S;amikacin:S;imipenem:S;tigecycline:S;ertapenem:S;levofloxacin:S;cefotaxime:S;cefoxitin:S;tetracycline:;cephalothin:S;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328433.3	Escherichia coli BWH 34	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328433.3.fna					;genome_taxa:1328433;isolation_site:;isolation_source:Wound;collection_date:9/1/12;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:Adult;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:R;ciprofloxacin:S;trimethoprim/sulfamethoxazole:R;cefazolin:R;ampicillin:R;ampicillin/sulbactam:R;ceftazidime:R;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:S;amikacin:S;imipenem:S;tigecycline:R;ertapenem:;levofloxacin:R;cefotaxime:R;cefoxitin:R;tetracycline:;cephalothin:S;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328434.3	Escherichia coli BWH 40	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328434.3.fna					;genome_taxa:1328434;isolation_site:;isolation_source:Urine;collection_date:10/1/12;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:Adult;host_health:;body_sample_site:;body_sample_subsite:;meropenem:;gentamicin:R;ciprofloxacin:S;trimethoprim/sulfamethoxazole:R;cefazolin:R;ampicillin:R;ampicillin/sulbactam:R;ceftazidime:R;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:S;amikacin:S;imipenem:S;tigecycline:R;ertapenem:;levofloxacin:R;cefotaxime:R;cefoxitin:R;tetracycline:;cephalothin:R;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328436.3	Escherichia coli BIDMC 2B	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328436.3.fna					;genome_taxa:1328436;isolation_site:;isolation_source:Blood culture;collection_date:5/1/10;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:;cefazolin:;ampicillin:;ampicillin/sulbactam:;ceftazidime:;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328437.3	Escherichia coli BIDMC 3	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328437.3.fna					;genome_taxa:1328437;isolation_site:;isolation_source:SWAB, abdominal incision;collection_date:8/1/09;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:;cefazolin:;ampicillin:;ampicillin/sulbactam:R;ceftazidime:;cefepime:R;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328438.3	Escherichia coli BIDMC 6	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328438.3.fna					;genome_taxa:1328438;isolation_site:;isolation_source:BILE;collection_date:3/1/10;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:;cefazolin:;ampicillin:;ampicillin/sulbactam:;ceftazidime:;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328439.3	Escherichia coli BIDMC 9	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328439.3.fna					;genome_taxa:1328439;isolation_site:;isolation_source:Urine;collection_date:9/1/09;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:;cefazolin:;ampicillin:;ampicillin/sulbactam:R;ceftazidime:;cefepime:;piperacillin/tazobactam:R;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328440.3	Escherichia coli BIDMC 15	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328440.3.fna					;genome_taxa:1328440;isolation_site:;isolation_source:SWAB, ABDOMEN;collection_date:3/1/10;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:;cefazolin:;ampicillin:;ampicillin/sulbactam:;ceftazidime:;cefepime:;piperacillin/tazobactam:;ceftriaxone:;tobramycin:S;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:S;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328441.3	Escherichia coli BIDMC 17A	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328441.3.fna					;genome_taxa:1328441;isolation_site:;isolation_source:Blood culture;collection_date:12/1/09;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:R;cefazolin:;ampicillin:;ampicillin/sulbactam:;ceftazidime:;cefepime:R;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
1328442.3	Escherichia coli BIDMC 17B	asm	/media/ktht/ExtraUbuntu/Ecoli/PATRICFasta/1328442.3.fna					;genome_taxa:1328442;isolation_site:;isolation_source:PERITONEAL FLUID;collection_date:12/1/09;geographic_location:Boston, MA, USA;latitude:;longitude:;altitude:;host_name:Human, Homo sapiens;host_gender:;host_age:;host_health:;body_sample_site:;body_sample_subsite:;meropenem:R;gentamicin:;ciprofloxacin:;trimethoprim/sulfamethoxazole:R;cefazolin:;ampicillin:R;ampicillin/sulbactam:;ceftazidime:;cefepime:R;piperacillin/tazobactam:;ceftriaxone:;tobramycin:;nitrofurantoin:;amikacin:;imipenem:;tigecycline:;ertapenem:;levofloxacin:;cefotaxime:;cefoxitin:;tetracycline:S;cephalothin:;colistin:;aztreonam:;amoxicillin/clavulanic acid:;doripenem:;doxycycline:;polymyxin B:;minocycline:;fosfomycin:;norfloxacin:;chloramphenicol:;ticarcillin-clavulanic acid:;trimethoprim:;cefotaxime/clavulanic acid:;cephalexin:;piperacillin:
